,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
975,HP,Notebook,8,Windows,2.04,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
976,Lenovo,Notebook,4,Windows,1.7,0,0,111.93520355955212,Intel Core i5,0,0,Intel
977,Asus,2 in 1 Convertible,16,Windows,2.3,1,0,282.42399616439724,Intel Core i7,2000,512,Nvidia
978,HP,Notebook,6,Windows,2.04,0,0,100.45466986113652,Intel Core i7,1000,0,Intel
979,Asus,Gaming,16,Windows,2.99,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
980,Dell,2 in 1 Convertible,12,Windows,2.19,1,1,141.21199808219862,Intel Core i7,0,512,Intel
981,Toshiba,Notebook,4,Windows,1.2,0,0,165.6321180513006,Intel Core i5,0,128,Intel
982,Lenovo,Notebook,6,Windows,2.2,0,0,141.21199808219862,AMD Processor,0,256,AMD
983,Fujitsu,Notebook,4,Windows,2.3,0,0,100.45466986113652,Intel Core i5,0,256,Intel
984,Toshiba,Notebook,4,Windows,1.75,0,0,111.93520355955212,Intel Core i5,500,0,Intel
985,Dell,Notebook,4,Windows,2.25,0,0,100.45466986113652,Intel Core i5,500,0,AMD
986,HP,Notebook,8,Windows,2.04,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
987,Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
988,Dell,Notebook,8,Windows,2.36,0,0,100.45466986113652,Intel Core i7,1000,0,AMD
989,Dell,Notebook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,0,128,Intel
990,HP,Netbook,8,Windows,0.97,0,0,176.23257360658386,Other Intel Processor,0,512,Intel
991,HP,Notebook,4,Windows,2.1,0,0,141.21199808219862,Intel Core i3,1000,128,AMD
992,Lenovo,Notebook,4,Others,1.9,0,0,100.45466986113652,Other Intel Processor,0,128,Intel
993,Lenovo,Notebook,8,Windows,2.3,0,0,141.21199808219862,Intel Core i5,0,256,Intel
994,Dell,2 in 1 Convertible,8,Windows,1.68,1,0,165.6321180513006,Intel Core i5,0,256,Intel
995,Asus,Notebook,8,Windows,1.4,0,0,276.053530085501,Intel Core i5,0,256,Intel
996,HP,Ultrabook,8,Windows,1.11,1,1,165.6321180513006,Intel Core i7,0,256,Intel
997,Acer,Notebook,4,Windows,2.4,0,0,100.45466986113652,Other Intel Processor,500,0,Intel
998,Asus,Gaming,16,Windows,2.5,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
999,HP,Ultrabook,8,Windows,1.48,0,0,157.3505121487356,Intel Core i7,0,512,Intel
1000,Acer,Gaming,8,Windows,2.7,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
1001,HP,Notebook,8,Windows,1.34,0,1,165.6321180513006,Intel Core i5,0,256,Intel
1002,Dell,Notebook,4,Windows,2.18,0,0,100.45466986113652,Intel Core i3,0,128,Intel
1003,HP,Notebook,4,Windows,1.64,0,0,111.93520355955212,Intel Core i5,500,0,Intel
1004,Toshiba,Notebook,4,Windows,1.2,0,0,165.6321180513006,Intel Core i5,0,128,Intel
1005,HP,Notebook,4,Windows,1.48,0,0,111.93520355955212,Intel Core i5,0,256,Intel
1006,HP,Notebook,4,Windows,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1007,HP,Ultrabook,8,Windows,1.43,0,0,157.3505121487356,Intel Core i7,0,256,Intel
1008,HP,Notebook,8,Windows,1.64,0,0,157.3505121487356,Intel Core i5,0,256,Nvidia
1009,HP,Notebook,4,Windows,1.64,0,0,111.93520355955212,Intel Core i3,500,0,Intel
1010,Dell,Gaming,8,Windows,2.65,0,0,141.21199808219862,Intel Core i5,0,0,Nvidia
1011,HP,Ultrabook,4,Windows,1.26,0,0,176.23257360658386,Intel Core i5,500,0,Intel
1012,HP,Notebook,4,Windows,1.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1013,HP,Ultrabook,8,Windows,1.54,0,0,157.3505121487356,Intel Core i7,0,256,Intel
1014,HP,Notebook,4,Windows,1.49,0,0,117.82653006268644,Intel Core i3,500,0,Intel
1015,Toshiba,Notebook,8,Windows,1.5,0,0,117.82653006268644,Intel Core i5,0,256,Intel
1016,HP,Notebook,4,Windows,2.04,0,0,100.45466986113652,Intel Core i3,0,256,Intel
1017,Lenovo,Notebook,16,Windows,2.4,0,1,254.67134914246225,Intel Core i7,0,512,Nvidia
1018,Toshiba,Notebook,8,Windows,1.47,0,1,157.3505121487356,Intel Core i5,0,256,Intel
1019,HP,Notebook,8,Windows,1.43,0,0,157.3505121487356,Intel Core i7,0,256,Intel
1020,Dell,2 in 1 Convertible,4,Windows,2.08,1,1,141.21199808219862,Intel Core i3,1000,0,Intel
1021,Toshiba,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i5,0,256,Intel
1022,HP,Notebook,8,Windows,1.11,0,1,165.6321180513006,Intel Core i5,0,256,Intel
1023,HP,Notebook,8,Windows,1.64,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia
1024,Dell,Notebook,8,Windows,2.09,0,0,141.21199808219862,Intel Core i5,500,0,Intel
1025,HP,Ultrabook,4,Windows,1.26,0,0,125.36742798669836,Intel Core i5,0,256,Intel
1026,HP,Notebook,4,Windows,2.31,0,0,111.93520355955212,Intel Core i5,500,0,Intel
1027,HP,Notebook,4,Windows,1.95,0,0,111.93520355955212,Intel Core i5,500,0,Intel
